id;name;street_name;email
1;Briano Yushkin;Arapahoe;byushkin0@ed.gov
2;Dewey Rentoll;Crowley;drentoll1@about.me
3;Shawn Batterson;Meadow Valley;sbatterson2@ameblo.jp
4;Spenser Brisseau;Tony;sbrisseau3@soundcloud.com
5;Eartha Pover;Clove;epover4@xing.com
6;Orv Carthew;Hansons;ocarthew5@mac.com
7;Maddi Denington;Scott;mdenington6@amazonaws.com
8;Tallie Hoolaghan;Dottie;thoolaghan7@studiopress.com
9;Paulie Philipeau;Cascade;pphilipeau8@tmall.com
10;Darnell Battle;Roxbury;dbattle9@simplemachines.org
11;Teodorico Creeghan;Susan;tcreeghana@bbb.org
12;Mick McFeat;Buhler;mmcfeatb@liveinternet.ru
13;Grazia Hazley;Blackbird;ghazleyc@google.de
14;Nappie Gooly;Vera;ngoolyd@loc.gov
15;Madeline Holbie;Dottie;mholbiee@google.nl
16;Dorri Gretton;Trailsway;dgrettonf@ezinearticles.com
17;Kalinda Marriner;Ronald Regan;kmarrinerg@who.int
18;Hendrick De Roos;Paget;hdeh@reference.com
19;Sigfried Gosden;Lerdahl;sgosdeni@issuu.com
20;Georgiana Sawnwy;Helena;gsawnwyj@seesaa.net
